backend,model,hf_id,params_M,max_pos,threads,target_length,actual_length,p50_ms,p95_ms,p99_ms,mean_ms,throughput_rps,load_s,warmup,measure,peak_rss_mb
torch,bert-mini,prajjwal1/bert-mini,11.17,512,4,128,128,2.212,2.518,2.577,2.269,440.63,5.27,2,5,334
torch,bert-mini,prajjwal1/bert-mini,11.17,512,4,512,512,7.327,7.946,8.031,7.431,134.57,5.27,2,5,343
